replica,gen,avg_fit,max_fit,normal_fit,zombie_fit,normal_n,zombie_n,normal_alive,zombie_alive,avg_gap,avg_viability
0,0,0.481097,0.810095,0.488717,0.473970,58,62,56,58,0.428997,0.320699
0,1,0.518086,0.818121,0.510758,0.522805,47,73,46,72,0.351585,0.254928
0,2,0.556507,2.010859,0.592291,0.528200,53,67,52,67,0.398560,0.302843
0,3,0.570467,0.919484,0.620247,0.528345,55,65,54,62,0.411828,0.240810
0,4,0.552298,1.347809,0.585989,0.494105,76,44,73,42,0.570443,0.279264
0,5,0.659582,1.257942,0.669423,0.578583,107,13,104,13,0.807770,0.222441
0,6,0.656926,1.368929,0.662874,0.484423,116,4,116,4,0.872240,0.212756
0,7,0.708054,1.049134,0.708852,0.613060,119,1,118,1,0.892800,0.156510
0,8,0.676713,1.591092,0.676713,0.000000,120,0,120,0,0.907845,0.212078
0,9,0.627323,1.142317,0.627323,0.000000,120,0,118,0,0.916187,0.198760
0,10,0.619412,1.125251,0.619412,0.000000,120,0,118,0,0.922181,0.199419
0,11,0.660766,1.648085,0.660766,0.000000,120,0,120,0,0.927573,0.171581
0,12,0.691439,1.544878,0.691439,0.000000,120,0,120,0,0.932691,0.191293
0,13,0.729166,1.864782,0.729166,0.000000,120,0,119,0,0.941979,0.149975
0,14,0.754260,1.390725,0.754260,0.000000,120,0,118,0,0.944086,0.140770
0,15,0.643759,1.156753,0.643759,0.000000,120,0,114,0,0.956013,0.130560
0,16,0.670418,1.783417,0.670418,0.000000,120,0,118,0,0.952451,0.132077
0,17,0.707967,1.974330,0.707967,0.000000,120,0,119,0,0.959479,0.112475
0,18,0.805539,2.261451,0.805539,0.000000,120,0,120,0,0.969600,0.126213
0,19,0.719041,2.166601,0.719041,0.000000,120,0,120,0,0.969622,0.113105
0,20,0.681600,2.117999,0.681600,0.000000,120,0,117,0,0.974269,0.097319
0,21,0.741294,2.438759,0.741294,0.000000,120,0,120,0,0.981360,0.107239
0,22,0.800761,2.468701,0.800761,0.000000,120,0,120,0,0.979044,0.081210
0,23,0.746318,2.454040,0.746318,0.000000,120,0,113,0,0.984255,0.083481
0,24,0.745984,2.609433,0.745984,0.000000,120,0,116,0,0.988898,0.081721
0,25,0.773102,2.222282,0.773102,0.000000,120,0,114,0,0.990440,0.034081
0,26,0.829130,2.575447,0.829130,0.000000,120,0,117,0,0.988221,0.048231
0,27,0.886684,2.591859,0.886684,0.000000,120,0,119,0,0.991909,0.022248
0,28,0.906704,3.179984,0.906704,0.000000,120,0,118,0,0.992449,0.033190
0,29,1.010709,2.442065,1.010709,0.000000,120,0,120,0,0.989522,0.016181
0,30,1.006488,2.692410,1.006488,0.000000,120,0,117,0,0.994211,0.019718
0,31,0.863028,2.195829,0.863028,0.000000,120,0,110,0,0.991286,0.017296
0,32,0.826249,1.992684,0.826249,0.000000,120,0,119,0,0.992298,0.016927
0,33,0.962766,2.372821,0.962766,0.000000,120,0,119,0,0.993060,0.015098
0,34,0.992427,2.499510,0.992427,0.000000,120,0,120,0,0.992469,0.006056
0,35,0.924061,2.386212,0.924061,0.000000,120,0,111,0,0.993661,0.007325
0,36,0.896785,2.143597,0.896785,0.000000,120,0,118,0,0.996079,0.010982
0,37,0.965375,2.135445,0.965375,0.000000,120,0,119,0,0.996743,0.003804
0,38,0.737723,1.668005,0.737723,0.000000,120,0,113,0,0.996557,0.003844
0,39,0.842886,2.090853,0.842886,0.000000,120,0,119,0,0.998150,0.002122
0,40,0.870159,2.287902,0.870159,0.000000,120,0,119,0,0.998441,0.001469
0,41,0.875013,1.780348,0.875013,0.000000,120,0,118,0,0.999870,0.000788
0,42,0.830789,2.130047,0.830789,0.000000,120,0,116,0,0.998687,0.000834
0,43,0.884684,2.333026,0.884684,0.000000,120,0,118,0,0.998683,0.000904
0,44,0.885939,2.473231,0.885939,0.000000,120,0,119,0,0.999670,0.000466
0,45,0.792345,2.025457,0.792345,0.000000,120,0,120,0,0.998950,0.000659
0,46,0.954896,2.382943,0.954896,0.000000,120,0,119,0,0.998613,0.000359
0,47,0.825034,2.666797,0.825034,0.000000,120,0,117,0,0.998647,0.000331
0,48,0.998184,2.312703,0.998184,0.000000,120,0,120,0,0.999544,0.000241
0,49,0.792783,2.259433,0.792783,0.000000,120,0,117,0,0.999776,0.000099
0,50,1.054391,2.839321,1.054391,0.000000,120,0,118,0,0.999986,0.000098
0,51,0.837000,2.302373,0.837000,0.000000,120,0,111,0,0.999285,0.000055
0,52,1.001675,3.318667,1.001675,0.000000,120,0,120,0,0.999002,0.000090
0,53,1.093819,2.524978,1.093819,0.000000,120,0,119,0,1.000000,0.000056
0,54,1.219113,2.826769,1.219113,0.000000,120,0,119,0,0.999984,0.000049
0,55,1.126295,2.524984,1.126295,0.000000,120,0,120,0,1.000000,0.000024
0,56,1.031138,2.936696,1.031138,0.000000,120,0,119,0,1.000000,0.000013
0,57,1.029426,3.230563,1.029426,0.000000,120,0,120,0,1.000000,0.000019
0,58,0.842504,1.902687,0.842504,0.000000,120,0,117,0,0.999515,0.000008
0,59,0.895214,2.333927,0.895214,0.000000,120,0,119,0,1.000000,0.000006
0,60,1.062560,2.881955,1.062560,0.000000,120,0,117,0,1.000000,0.000006
0,61,1.096321,2.765910,1.096321,0.000000,120,0,119,0,1.000000,0.000004
0,62,0.997516,3.067804,0.997516,0.000000,120,0,114,0,0.999932,0.000003
0,63,1.060677,3.271369,1.060677,0.000000,120,0,119,0,0.999848,0.000002
0,64,1.174090,2.645572,1.174090,0.000000,120,0,120,0,1.000000,0.000002
0,65,1.314596,3.218788,1.314596,0.000000,120,0,120,0,1.000000,0.000001
0,66,1.125869,3.215364,1.125869,0.000000,120,0,117,0,1.000000,0.000002
0,67,0.939405,2.692959,0.939405,0.000000,120,0,111,0,1.000000,0.000002
0,68,1.087572,2.800345,1.087572,0.000000,120,0,118,0,1.000000,0.000001
0,69,1.374551,3.319711,1.374551,0.000000,120,0,120,0,1.000000,0.000001
1,0,0.501994,1.265750,0.510922,0.491082,66,54,63,51,0.488812,0.289360
