replica,gen,avg_fit,max_fit,normal_fit,zombie_fit,normal_n,zombie_n,normal_alive,zombie_alive,avg_gap,avg_viability
0,0,0.486473,1.088911,0.493174,0.480204,58,62,56,59,0.432056,0.301884
0,1,0.553761,1.838500,0.555032,0.553101,41,79,40,78,0.307720,0.275770
0,2,0.565072,3.468498,0.622629,0.530538,45,75,45,73,0.335919,0.301295
0,3,0.620070,1.195584,0.695329,0.558495,54,66,54,62,0.403552,0.235853
0,4,0.582574,1.264591,0.597899,0.559585,72,48,71,46,0.542582,0.249446
0,5,0.654514,1.076090,0.732500,0.498540,80,40,80,35,0.597497,0.241170
0,6,0.685222,1.732773,0.695176,0.609852,106,14,105,14,0.798597,0.237592
0,7,0.685931,1.039790,0.698719,0.506894,112,8,111,8,0.840105,0.183961
0,8,0.698149,0.906216,0.698564,0.648825,119,1,119,1,0.913501,0.201817
0,9,0.653864,0.835652,0.654938,0.526089,119,1,119,1,0.923408,0.215983
0,10,0.651627,0.839279,0.651627,0.000000,120,0,120,0,0.931235,0.160323
0,11,0.670843,0.888631,0.670843,0.000000,120,0,120,0,0.932982,0.162904
0,12,0.771370,0.991876,0.771370,0.000000,120,0,120,0,0.947214,0.123286
0,13,0.751962,1.146094,0.751962,0.000000,120,0,120,0,0.949045,0.114911
0,14,0.796693,1.119220,0.796693,0.000000,120,0,120,0,0.957735,0.104569
0,15,0.678509,0.820717,0.678509,0.000000,120,0,120,0,0.960263,0.094817
0,16,0.680570,0.868419,0.680570,0.000000,120,0,119,0,0.965854,0.107632
0,17,0.733670,0.931037,0.733670,0.000000,120,0,120,0,0.967366,0.076994
0,18,0.865684,1.114321,0.865684,0.000000,120,0,120,0,0.974670,0.067849
0,19,0.682992,0.817005,0.682992,0.000000,120,0,120,0,0.978877,0.074014
0,20,0.680102,0.887003,0.680102,0.000000,120,0,120,0,0.975238,0.067084
0,21,0.779558,1.134273,0.779558,0.000000,120,0,120,0,0.979726,0.044826
0,22,0.652915,0.847284,0.652915,0.000000,120,0,120,0,0.980129,0.047432
